regulator	replicate	fastq_1	fastq_2
ADR1xstandard	A	fastq/SRX20967262_SRR25220850_1.fastq.gz	fastq/SRX20967262_SRR25220850_2.fastq.gz
ADR1xstandard	B	fastq/SRX20967263_SRR25220849_1.fastq.gz	fastq/SRX20967263_SRR25220849_2.fastq.gz
ADR1xstandard	C	fastq/SRX20967264_SRR25220848_1.fastq.gz	fastq/SRX20967264_SRR25220848_2.fastq.gz
MET32xstandard	A	fastq/SRX20966989_SRR25220507_1.fastq.gz	fastq/SRX20966989_SRR25220507_2.fastq.gz
MET32xstandard	B	fastq/SRX20966990_SRR25220506_1.fastq.gz	fastq/SRX20966990_SRR25220506_2.fastq.gz
MET32xstandard	C	fastq/SRX20966991_SRR25220505_1.fastq.gz	fastq/SRX20966991_SRR25220505_2.fastq.gz
YAP6xstandard	A	fastq/SRX20967252_SRR25220552_1.fastq.gz	fastq/SRX20967252_SRR25220552_2.fastq.gz
YAP6xstandard	B	fastq/SRX20967421_SRR25220691_1.fastq.gz	fastq/SRX20967421_SRR25220691_2.fastq.gz
YAP6xstandard	C	fastq/SRX20967422_SRR25220690_1.fastq.gz	fastq/SRX20967422_SRR25220690_2.fastq.gz
SUM1xstandard	A	fastq/SRX20967408_SRR25220704_1.fastq.gz	fastq/SRX20967408_SRR25220704_2.fastq.gz
SUM1xstandard	B	fastq/SRX20967409_SRR25220703_1.fastq.gz	fastq/SRX20967409_SRR25220703_2.fastq.gz
SUM1xstandard	C	fastq/SRX20967410_SRR25220702_1.fastq.gz	fastq/SRX20967410_SRR25220702_2.fastq.gz
SWR1xstandard	A	fastq/SRX20967360_SRR25220752_1.fastq.gz	fastq/SRX20967360_SRR25220752_2.fastq.gz
SWR1xstandard	B	fastq/SRX20967361_SRR25220751_1.fastq.gz	fastq/SRX20967361_SRR25220751_2.fastq.gz
SWR1xstandard	C	fastq/SRX20967362_SRR25220750_1.fastq.gz	fastq/SRX20967362_SRR25220750_2.fastq.gz
EAF1xstandard	A	fastq/SRX20967313_SRR25220799_1.fastq.gz	fastq/SRX20967313_SRR25220799_2.fastq.gz
EAF1xstandard	B	fastq/SRX20967314_SRR25220798_1.fastq.gz	fastq/SRX20967314_SRR25220798_2.fastq.gz
EAF1xstandard	C	fastq/SRX20967315_SRR25220797_1.fastq.gz	fastq/SRX20967315_SRR25220797_2.fastq.gz
NCB2xstandard	A	fastq/SRX20967019_SRR25220477_1.fastq.gz	fastq/SRX20967019_SRR25220477_2.fastq.gz
NCB2xstandard	B	fastq/SRX20967020_SRR25220476_1.fastq.gz	fastq/SRX20967020_SRR25220476_2.fastq.gz
NCB2xstandard	C	fastq/SRX20967021_SRR25220475_1.fastq.gz	fastq/SRX20967021_SRR25220475_2.fastq.gz
ARO80xstandard	A	fastq/SRX20967271_SRR25220841_1.fastq.gz	fastq/SRX20967271_SRR25220841_2.fastq.gz
ARO80xstandard	B	fastq/SRX20967272_SRR25220840_1.fastq.gz	fastq/SRX20967272_SRR25220840_2.fastq.gz
